The projection heads for this project were all trained on publicly-available, royalty-free music.

Music was downloaded from:
- Internet Archive (archive.org)
- Jamendo (jamendo.com)
- pixabay (pixabay.com)


Track Title                                 Artist                                
---------------------------------------------------------------------------------------------
Tentadora                                   Danois                                 
Lose My Rose                                Ed Napoli                              
Alive                                       Songwriterz                            
Jupiter and Mars                            Square a Saw                           
Be Without U                                Neon Niteclub                          
RED LIGHT                                   EGOR BUDENNYY                          

Molotov Heart                               Radio Nowhere                          
Blood                                       All My Friends Hate Me
Give Me Hope                                Modern Pitch
Done With You                               SadMe
On Sale                                     Golden Duck Orchestra
It Could Be You                             STEEP
Chicken Fighter                             Trapped in Freedom

Wish You Were Here                          the.madpix.project
You and Me                                  JEKK
Mineral                                     HRCRX
All Rights Reserved                         Anny Sky
Breathe                                     Axl & Arth
Sheet Like a This(ORIGINAL MIX)             DJ Nairi
Echoes of Love                              Igor Pumphonia

North Shore                                 Anitek
Synthwave Phonk                             Janevo
YO NO ENTIENDO                              PUETO PA LO MIO RECORDS
Does she not                                Boukmanflow
Keep it Easy                                DHDMusic
Search for Eden (feat. Aurc)                Tab
Trapshawty                                  Balenciaga (Feat. Wondertwins and RoroBadAzz)
La rivolta                                  Trapple Runner
Максим Фрост                                Frost Tenku

Persimmon                                   Pierce Murphy
The Best Jazz Club In New Orleans           Paolo Argento
Smooth Jazz                                 Happiness In Music
WindMarcusbazzDoublebass071321              ImpovCloud
Tiny's Tempo                                Charlie Parker
Take the A Train                            Duke Ellington

Wanting and Waiting                         Occasionally Humans
Dont Be Afraid                              Kinematic
Meme                                        Paul & Manuel
Handcrafted                                 Fresh Body Shop
Crystals In Our Eyes                        Romancoke
A View From The Vale                        Glass Violet

Guardian of Power                           Gregorie Lourme
Inspiring Cinematic Piano (Version 1)       Makesound
Epic Motivation                             Sound Creator
minimal 11                                  nikproteus
James Bond Theme                            Unknown
Overture                                    Unknown

Toccata and Fugue                           JS Bach
Symphony 82                                 JF Haydn
Minuet in G                                 LV Beethoven
String Quartet in F Major                   M Ravel
Allegro Non Troppo                          D Shostakovich
Jonchaies                                   I Xenakis

Prelude in C-Sharp Minor                    S Rachmaninoff
Impromptu in A-Flat                         Schubert
Nocturne in E-flat Major                    F Chopin
2 Etudes de Concert S.145 - 1               F Liszt

Dialogo a otto                              Unknown
Credo                                       I Stravinsky
Lord For Thy Tender Mercies' Sake           Unknown
Lulu's Back In Town                         The Key Men
Track 01                                    The Boswell Sisters

Henry Lee                                   Dick Justice
Fatal Flower Garden                         Neilstone's Hawaiians
House Carpenter                             Clarence Ashley
Always Ever Be                              Cole Powell
Medicine                                    Kevin Milner and Piero Peluche
Come On Come On                             Tamara Laurel
Oh Laura                                    Ben K. Adams
Orange Juice                                Sonia Isabel
Desert Gardens                              Kosash
Out Here                                    The Sean Moon Band
You Freak Me Out Sometimes                  Tony Petersen

What U Be Doin                              Samie Bower
You Are Enough                              Niki J Crawford
Dreams                                      Ozella
Graceful                                    Yigit Atilla
erase me (feat. Ronnetta Spencer &          RXBYN
    Vizionvry)
Give Yourself Away (Produced by Benstar)    Mickey Blue
Give U My Name                              Jyant
Closer                                      Jasmine Jordan

After Us                                    FROMSKYTOABYSS
Solace                                      Hands of Attrition
Fired!                                      Redmind
Ride into the Badlands                      Kill City Kills

Mas Alla                                    Vince Miranda
Baila                                       Alfonso Lugo
Carioca                                     Ed Napoli
El Macao                                    Isaac Delgado
Lloraras                                    Oscar D'Leon
Ese Hombre                                  India
Que Se Vaya (Te Vi Con El)                  Frank Reyes
Pobre Diabla                                Don Omar

4 reggae/dub
Jah Give Us Life                            Wailing Souls
The Black Star Liner                        Reggae Reggular
Thank You For Last Night                    Cygnus
Smoking My Ganja                            Capital Letters

Breakdown                                   The Stooges
Orgasm Addict                               The Stooges
Anarchy In The UK                           Sex Pistols
Sheena Is A Punk Rocker                     Ramones
Babylon's Burning                           The Ruts

Smoke Stack Lightning                       Howlin' Wolf
Crawling King Snake Blues                   John Lee Hooker
Double Trouble                              Otis Rush
Bright Lights, Big City                     Jimmy Reed
One Scotch, One Bourbon, One Beer           Amos Milburn
Help Me                                     Sonny Boy Williamson II

A. Cobo                                     Siciliano
Kustennebel                                 Berry Sarluis
Sarangi                                     Unknown
Kar Gayi Chull                              Badshah
